id,team,rolling_5_form
980917,Gujarat Titans,1.0
980929,Gujarat Titans,1.0
980937,Gujarat Titans,0.75
980945,Gujarat Titans,0.8
980949,Gujarat Titans,0.8
980955,Gujarat Titans,0.8
980961,Gujarat Titans,0.6
980967,Gujarat Titans,0.6
980975,Gujarat Titans,0.4
980987,Gujarat Titans,0.4
981001,Gujarat Titans,0.2
981007,Gujarat Titans,0.4
981013,Gujarat Titans,0.6
981017,Gujarat Titans,0.6
1082593,Gujarat Titans,0.4
1082596,Gujarat Titans,0.4
1082603,Gujarat Titans,0.2
1082606,Gujarat Titans,0.2
1082610,Gujarat Titans,0.2
1082613,Gujarat Titans,0.2
1082616,Gujarat Titans,0.4
1082621,Gujarat Titans,0.4
1082625,Gujarat Titans,0.4
1082629,Gujarat Titans,0.4
1082632,Gujarat Titans,0.4
1082637,Gujarat Titans,0.2
1082640,Gujarat Titans,0.4
1082643,Gujarat Titans,0.2
1304050,Gujarat Titans,0.2
1304056,Gujarat Titans,0.4
1304062,Gujarat Titans,0.6
1304067,Gujarat Titans,0.6
1304070,Gujarat Titans,0.6
1304075,Gujarat Titans,0.8
1304081,Gujarat Titans,0.8
1304086,Gujarat Titans,0.8
1304089,Gujarat Titans,0.8
1304094,Gujarat Titans,1.0
1304097,Gujarat Titans,0.8
1304103,Gujarat Titans,0.6
1304108,Gujarat Titans,0.6
1304113,Gujarat Titans,0.6
1312197,Gujarat Titans,0.4
1312200,Gujarat Titans,0.6
1359475,Gujarat Titans,0.8
1359481,Gujarat Titans,0.8
1359487,Gujarat Titans,0.8
1359492,Gujarat Titans,0.8
1359497,Gujarat Titans,0.8
1359504,Gujarat Titans,0.6
1359509,Gujarat Titans,0.6
1359513,Gujarat Titans,0.6
1359518,Gujarat Titans,0.8
1359522,Gujarat Titans,0.6
1359525,Gujarat Titans,0.8
1359531,Gujarat Titans,0.8
1359536,Gujarat Titans,0.6
1359544,Gujarat Titans,0.6
1370350,Gujarat Titans,0.8
1370352,Gujarat Titans,0.6
1370353,Gujarat Titans,0.6
1422123,Gujarat Titans,0.6
1422125,Gujarat Titans,0.6
1422130,Gujarat Titans,0.4
1422135,Gujarat Titans,0.6
1422139,Gujarat Titans,0.4
1426262,Gujarat Titans,0.4
1426270,Gujarat Titans,0.4
1426275,Gujarat Titans,0.4
1426278,Gujarat Titans,0.4
1426283,Gujarat Titans,0.4
1426290,Gujarat Titans,0.4
1426297,Gujarat Titans,0.2
501200,Kochi Tuskers Kerala,0.5
501207,Kochi Tuskers Kerala,0.0
501210,Kochi Tuskers Kerala,0.0
501215,Kochi Tuskers Kerala,0.3333333333333333
501219,Kochi Tuskers Kerala,0.5
501225,Kochi Tuskers Kerala,0.6
501229,Kochi Tuskers Kerala,0.6
501233,Kochi Tuskers Kerala,0.6
501238,Kochi Tuskers Kerala,0.4
501242,Kochi Tuskers Kerala,0.4
501247,Kochi Tuskers Kerala,0.4
501254,Kochi Tuskers Kerala,0.4
501258,Kochi Tuskers Kerala,0.4
501261,Kochi Tuskers Kerala,0.6
335982,Kolkata Knight Riders,0.5
335986,Kolkata Knight Riders,1.0
335993,Kolkata Knight Riders,1.0
335997,Kolkata Knight Riders,0.6666666666666666
336000,Kolkata Knight Riders,0.5
336003,Kolkata Knight Riders,0.4
336010,Kolkata Knight Riders,0.2
336014,Kolkata Knight Riders,0.2
336017,Kolkata Knight Riders,0.4
336021,Kolkata Knight Riders,0.6
336025,Kolkata Knight Riders,0.6
336027,Kolkata Knight Riders,0.6
336035,Kolkata Knight Riders,0.4
392184,Kolkata Knight Riders,0.4
392186,Kolkata Knight Riders,0.2
392190,Kolkata Knight Riders,0.4
392197,Kolkata Knight Riders,0.4
392199,Kolkata Knight Riders,0.4
392203,Kolkata Knight Riders,0.2
392207,Kolkata Knight Riders,0.2
392211,Kolkata Knight Riders,0.0
392219,Kolkata Knight Riders,0.0
392221,Kolkata Knight Riders,0.0
392228,Kolkata Knight Riders,0.0
392231,Kolkata Knight Riders,0.0
392233,Kolkata Knight Riders,0.2
419106,Kolkata Knight Riders,0.4
419109,Kolkata Knight Riders,0.6
419113,Kolkata Knight Riders,0.8
419118,Kolkata Knight Riders,0.8
419122,Kolkata Knight Riders,0.6
419127,Kolkata Knight Riders,0.4
419131,Kolkata Knight Riders,0.4
419135,Kolkata Knight Riders,0.2
419139,Kolkata Knight Riders,0.4
419144,Kolkata Knight Riders,0.4
419148,Kolkata Knight Riders,0.6
419153,Kolkata Knight Riders,0.4
419158,Kolkata Knight Riders,0.4
419161,Kolkata Knight Riders,0.4
501198,Kolkata Knight Riders,0.6
501203,Kolkata Knight Riders,0.4
501209,Kolkata Knight Riders,0.6
501214,Kolkata Knight Riders,0.8
501219,Kolkata Knight Riders,0.8
501222,Kolkata Knight Riders,0.6
501230,Kolkata Knight Riders,0.6
501234,Kolkata Knight Riders,0.6
501239,Kolkata Knight Riders,0.6
501242,Kolkata Knight Riders,0.6
501245,Kolkata Knight Riders,0.6
501255,Kolkata Knight Riders,0.8
501262,Kolkata Knight Riders,0.6
501267,Kolkata Knight Riders,0.6
501269,Kolkata Knight Riders,0.4
548307,Kolkata Knight Riders,0.4
548312,Kolkata Knight Riders,0.2
548315,Kolkata Knight Riders,0.2
548320,Kolkata Knight Riders,0.2
548323,Kolkata Knight Riders,0.4
548328,Kolkata Knight Riders,0.4
548335,Kolkata Knight Riders,0.6
548344,Kolkata Knight Riders,0.8
548347,Kolkata Knight Riders,0.8
548353,Kolkata Knight Riders,0.8
548357,Kolkata Knight Riders,1.0
548363,Kolkata Knight Riders,1.0
548368,Kolkata Knight Riders,0.8
548370,Kolkata Knight Riders,0.6
548375,Kolkata Knight Riders,0.6
548378,Kolkata Knight Riders,0.6
548381,Kolkata Knight Riders,0.6
597998,Kolkata Knight Riders,0.8
598005,Kolkata Knight Riders,1.0
598008,Kolkata Knight Riders,0.8
598013,Kolkata Knight Riders,0.6
598016,Kolkata Knight Riders,0.6
598022,Kolkata Knight Riders,0.4
598029,Kolkata Knight Riders,0.2
598031,Kolkata Knight Riders,0.2
598034,Kolkata Knight Riders,0.4
598040,Kolkata Knight Riders,0.2
598043,Kolkata Knight Riders,0.2
598050,Kolkata Knight Riders,0.4
598053,Kolkata Knight Riders,0.4
598057,Kolkata Knight Riders,0.4
598061,Kolkata Knight Riders,0.6
598069,Kolkata Knight Riders,0.6
729279,Kolkata Knight Riders,0.4
729289,Kolkata Knight Riders,0.6
729299,Kolkata Knight Riders,0.4
729307,Kolkata Knight Riders,0.4
729315,Kolkata Knight Riders,0.4
733971,Kolkata Knight Riders,0.4
733979,Kolkata Knight Riders,0.2
733985,Kolkata Knight Riders,0.2
733997,Kolkata Knight Riders,0.2
734009,Kolkata Knight Riders,0.4
734015,Kolkata Knight Riders,0.6
734023,Kolkata Knight Riders,0.8
734027,Kolkata Knight Riders,1.0
734037,Kolkata Knight Riders,1.0
734043,Kolkata Knight Riders,1.0
734049,Kolkata Knight Riders,1.0
829705,Kolkata Knight Riders,1.0
829713,Kolkata Knight Riders,1.0
829733,Kolkata Knight Riders,0.8
829739,Kolkata Knight Riders,0.8
829743,Kolkata Knight Riders,0.8
829765,Kolkata Knight Riders,0.6
829723,Kolkata Knight Riders,0.4
829771,Kolkata Knight Riders,0.6
829781,Kolkata Knight Riders,0.4
829761,Kolkata Knight Riders,0.4
829791,Kolkata Knight Riders,0.6
829805,Kolkata Knight Riders,0.8
829811,Kolkata Knight Riders,0.6
980903,Kolkata Knight Riders,0.6
980909,Kolkata Knight Riders,0.6
980915,Kolkata Knight Riders,0.4
980925,Kolkata Knight Riders,0.4
980939,Kolkata Knight Riders,0.6
980947,Kolkata Knight Riders,0.8
980951,Kolkata Knight Riders,0.6
980959,Kolkata Knight Riders,0.6
980963,Kolkata Knight Riders,0.6
980975,Kolkata Knight Riders,0.6
980989,Kolkata Knight Riders,0.4
980995,Kolkata Knight Riders,0.6
981001,Kolkata Knight Riders,0.6
981009,Kolkata Knight Riders,0.4
981015,Kolkata Knight Riders,0.4
1082593,Kolkata Knight Riders,0.4
1082597,Kolkata Knight Riders,0.4
